loo,mse,auc_leve,acc,auc
0.10511947899525258,0.2145560669446378,0.9235413093148566,0.544927536231884,0.589771175576802
0.015159189139862772,0.17790974648048677,1.0,0.6975669099756691,0.729735964851223
0.024234181240819327,0.1438802247443099,0.9951233028683355,0.780392156862745,0.6838480417529331
0.1389044826248231,0.1699560518162464,0.9125901875901876,0.7373626373626374,0.5166666666666667
0.24392284966356587,0.28094597302043234,0.5955041931136122,0.42042016806722693,0.5
0.09600794674030796,0.11935896779674349,0.9578690547140841,0.9240740740740743,0.5479761904761904
0.17284881005621155,0.19975417281795294,0.8331171429227909,0.6667464114832536,0.5246626358924228
0.23448982195602203,0.34716739265268026,0.5291666666666667,0.12000000000000002,0.5
0.18448498196115956,0.19334879690154994,0.7918723316209194,0.7070000000000001,0.5125836150552174
0.15255147565786412,0.193436657881232,0.8716666666666667,0.725,0.6375
0.22901076766497916,0.19994610040587626,0.6852780914737436,0.7387096774193549,0.5078260869565218
0.12603064402711384,0.20286966509175558,0.8972407902554961,0.6185185185185185,0.571815635345047
0.21149341328528853,0.19980243508805692,0.7324411840811166,0.7150030248033877,0.5
0.13535952105810997,0.1673042698288409,0.8724558150183149,0.7794736842105262,0.585
0.16674804790964004,0.23905548938149557,0.8378783755926614,0.5192857142857144,0.5485622710622711
