loo,mse,auc_leve,acc,auc
0.12143656032937282,0.2080296398385939,0.9191980113340262,0.644927536231884,0.6788020065297328
0.017566676293769626,0.16216078572139841,1.0,0.8221199619168518,0.8420433992709991
0.06077290336596294,0.14715255935775257,0.9943200556805774,0.7876811594202897,0.6927365424430642
0.17643307658082993,0.1727469633969538,0.9071789321789321,0.7450549450549452,0.5
0.24078293445928853,0.27476662751543685,0.593888099654791,0.42336134453781515,0.5022727272727272
0.0613687278474373,0.11127296488384952,0.9623631559006581,0.9148148148148147,0.5
0.1601314345364609,0.2011469436922865,0.8326296669639397,0.6550239234449761,0.505782579489476
0.0854822785460955,0.2662479062734303,0.5923611111111111,0.12000000000000002,0.5
0.17833134354353603,0.19284166454259916,0.796391210238325,0.7,0.5
0.18415508137469655,0.19729292293754222,0.8399999999999999,0.6821428571428572,0.575
0.19824753927736097,0.19372618180605192,0.6799293713532844,0.7352688172043012,0.5
0.14153470452457387,0.20457080843629977,0.8997590399796283,0.5962962962962962,0.5468290043290043
0.21705468348106066,0.19732346163202147,0.7242288079874268,0.7150030248033877,0.5
0.19274010264308597,0.16415993126375317,0.8766696428571429,0.7542105263157894,0.5
0.17535656655029613,0.23772293059963823,0.8432348656634371,0.5145238095238095,0.5435622710622712
