loo,mse,auc_leve,acc,auc
0.12619260473947985,0.20580422738194765,0.9266223693349076,0.682608695652174,0.7124789622279482
0.020633742011380143,0.1474762571205397,0.9932339401307857,0.8797365915582354,0.892187795726515
0.08993365548349888,0.14645407722063336,0.9953663583705774,0.739386189258312,0.6230332556935818
0.1748783929497118,0.1702932421977749,0.9216450216450216,0.7373626373626374,0.4958333333333333
0.24564665219933596,0.28167847068807167,0.5722719832216063,0.42042016806722693,0.5
0.09585631842194875,0.11873801227700387,0.9603666335328457,0.9222222222222223,0.5379761904761905
0.17342526578037426,0.1991232486612921,0.8295396468089861,0.6706766917293232,0.5316687603554439
0.1689413208897204,0.3290420598231297,0.5541666666666667,0.12000000000000002,0.5
0.1915247739803941,0.19252535455514555,0.7963087890754678,0.703,0.5093401740168304
0.17956574042050705,0.19812076939706252,0.835,0.7107142857142856,0.6125
0.2374682406027669,0.19963591784976936,0.6749025032938076,0.7387096774193549,0.5078260869565218
0.14069800255429882,0.1999870050399337,0.8952986229456817,0.6444444444444444,0.5954201680672269
0.23131809449677632,0.19813688413195857,0.7211429823304811,0.7150030248033877,0.5
0.19074246085316426,0.16339353934850073,0.8634729853479854,0.7542105263157894,0.5
0.17250458505368635,0.2396969349520725,0.8332706658420944,0.5145238095238095,0.5435622710622712
