loo,mse,auc_leve,acc,auc
0.107981657506995,0.2163452464431593,0.9210445806522113,0.5144927536231885,0.5620243640256428
0.0059513294258064925,0.17356026993252996,1.0,0.751449275362319,0.7758167556304502
0.027102618536106536,0.14535050867563765,0.995119916022519,0.803772378516624,0.714098171152519
0.13922250569377453,0.1716725393319381,0.8757575757575756,0.7527472527472528,0.5071428571428571
0.21290619624750606,0.26485222135172193,0.7438960018029711,0.4466386554621849,0.5228196561892214
0.10837262422964,0.12211363635645434,0.8965173612332663,0.9314814814814815,0.5951190476190477
0.16955761096842303,0.19826122638164445,0.8294409340601854,0.6627990430622008,0.5184221700090997
0.24134299158751266,0.34620932941821264,0.5583333333333333,0.12000000000000002,0.5
0.19240851835765607,0.1961005501909928,0.7784830610071256,0.7010000000000001,0.5043968253968254
0.18655936066291162,0.20546535924007991,0.865,0.6535714285714286,0.5
0.22775579743389515,0.1987097666248689,0.7018284553610641,0.7387096774193549,0.5078260869565218
0.1318772421075332,0.20395876459712162,0.8923790343643285,0.611111111111111,0.561423478482302
0.21390918940582662,0.20080535427355684,0.7070016642078205,0.7150030248033877,0.5
0.10929349350099431,0.16029637436832095,0.8895247252747251,0.7902631578947368,0.6147619047619047
0.17152154154994997,0.24255320495646043,0.806239131239131,0.51,0.5386782661782663
