loo,mse,auc_leve,acc,auc
0.108360611311628,0.26960343570250483,0.6229166666666666,0.12000000000000002,0.5
0.10791177505269593,0.27017942061188766,0.525,0.12000000000000002,0.5
0.10704061834594011,0.2716250703414383,0.4354166666666667,0.12000000000000002,0.5
0.10734669160298982,0.27088376584525087,0.45625,0.12000000000000002,0.5
0.10780343904204877,0.27007607430103786,0.5090277777777779,0.12000000000000002,0.5
0.10715838879522677,0.2710919805511823,0.4770833333333334,0.12000000000000002,0.5
0.1075697040658484,0.2707214301629132,0.545138888888889,0.12000000000000002,0.5
0.10645135578859548,0.2719794295967831,0.4756944444444445,0.12000000000000002,0.5
0.10751801174391032,0.27009679556409216,0.5597222222222221,0.12000000000000002,0.5
0.10772074923344291,0.27043067413309674,0.38888888888888895,0.12000000000000002,0.5
0.10767221550089998,0.2703401735475296,0.5819444444444444,0.12000000000000002,0.5
0.10737545640571595,0.27113350696945504,0.5395833333333334,0.12000000000000002,0.5
0.10782430509567828,0.27096192302976796,0.5847222222222221,0.12000000000000002,0.5
0.10793294542033874,0.27053735716919197,0.5430555555555555,0.12000000000000002,0.5
0.10781058037581673,0.27075905857001586,0.6104166666666667,0.12000000000000002,0.5
