loo,mse,auc_leve,acc,auc
0.12104537987809125,0.21129488550993214,0.9233833982354934,0.6159420289855071,0.6533383320787413
0.00804027585565674,0.1473309547423806,0.9552375285988234,0.8375277689622342,0.855918979591417
0.06017502067045789,0.1492151881105693,0.9949187592265778,0.7599317988064791,0.6537341701173223
0.1858053660228858,0.17352263377928184,0.8619197072768501,0.7450549450549452,0.5
0.21407529810710316,0.26230264572383016,0.7133852484991265,0.4522689075630252,0.5276126168517472
0.0666213146779858,0.11185618439163429,0.9227218097663259,0.9148148148148147,0.5
0.16054825059389924,0.20015713160739046,0.831083113857334,0.6537081339712918,0.5037380268199234
0.08656598753208365,0.26360162510258517,0.6451388888888889,0.12000000000000002,0.5
0.18602560983317984,0.1948236730451462,0.79049632312131,0.7,0.5
0.21747489771727543,0.21668566416897567,0.7483333333333333,0.6535714285714286,0.5
0.19830500853060168,0.19550079587697264,0.6510725421921075,0.7352688172043012,0.5
0.14629070227447655,0.2072527167558731,0.8714062000091412,0.6074074074074074,0.5644615800865801
0.21885051395461025,0.19761613150444307,0.7144208545981751,0.7150030248033877,0.5
0.1696733387225899,0.1547873937430756,0.8666456043956045,0.7894736842105263,0.5775
0.1740067506926042,0.23972432017286885,0.8331538514395657,0.5002380952380953,0.5314194139194139
